2025-08-24 13:40:13 | INFO     | interview-agent | demo_agent.py:112 | Starting LiveKit Interview Agent Worker...
2025-08-24 14:06:03 | INFO     | interview-agent | demo_agent.py:112 | Starting LiveKit Interview Agent Worker...
2025-08-24 14:07:45 | INFO     | interview-agent | demo_agent.py:112 | Starting LiveKit Interview Agent Worker...
2025-08-24 14:17:13 | INFO     | interview-agent | demo_agent.py:112 | Starting LiveKit Interview Agent Worker...
2025-08-24 14:17:21 | INFO     | interview-agent | demo_agent.py:61 | Silero VAD prewarmed
2025-08-24 14:18:15 | INFO     | interview-agent | demo_agent.py:87 | Usage summary: UsageSummary(llm_prompt_tokens=0, llm_prompt_cached_tokens=0, llm_completion_tokens=0, tts_characters_count=0, tts_audio_duration=0.0, stt_audio_duration=0.0)
2025-08-24 14:18:25 | INFO     | interview-agent | demo_agent.py:111 | Starting LiveKit Interview Agent Worker...
2025-08-24 14:18:32 | INFO     | interview-agent | demo_agent.py:61 | Silero VAD prewarmed
2025-08-24 14:19:37 | INFO     | interview-agent | demo_agent.py:87 | Usage summary: UsageSummary(llm_prompt_tokens=0, llm_prompt_cached_tokens=0, llm_completion_tokens=0, tts_characters_count=0, tts_audio_duration=0.0, stt_audio_duration=0.0)
2025-08-24 14:20:24 | INFO     | interview-agent | demo_agent.py:111 | Starting LiveKit Interview Agent Worker...
2025-08-24 14:20:31 | INFO     | interview-agent | demo_agent.py:61 | Silero VAD prewarmed
2025-08-24 14:23:31 | INFO     | interview-agent | demo_agent.py:87 | Usage summary: UsageSummary(llm_prompt_tokens=0, llm_prompt_cached_tokens=0, llm_completion_tokens=0, tts_characters_count=0, tts_audio_duration=0.0, stt_audio_duration=0.0)
2025-08-24 14:32:15 | INFO     | interview-agent | demo_agent.py:111 | Starting LiveKit Interview Agent Worker...
2025-08-24 14:37:06 | INFO     | interview-agent | demo_agent.py:111 | Starting LiveKit Interview Agent Worker...
2025-08-24 14:37:24 | INFO     | interview-agent | demo_agent.py:61 | Silero VAD prewarmed
2025-08-24 14:40:43 | INFO     | interview-agent | demo_agent.py:87 | Usage summary: UsageSummary(llm_prompt_tokens=0, llm_prompt_cached_tokens=0, llm_completion_tokens=0, tts_characters_count=0, tts_audio_duration=0.0, stt_audio_duration=0.0)
2025-08-24 14:41:02 | INFO     | interview-agent | demo_agent.py:110 | Starting LiveKit Interview Agent Worker...
2025-08-24 14:41:22 | INFO     | interview-agent | demo_agent.py:60 | Silero VAD prewarmed
2025-08-24 14:43:16 | INFO     | interview-agent | demo_agent.py:86 | Usage summary: UsageSummary(llm_prompt_tokens=0, llm_prompt_cached_tokens=0, llm_completion_tokens=0, tts_characters_count=0, tts_audio_duration=0.0, stt_audio_duration=0.0)
2025-08-24 14:43:36 | INFO     | interview-agent | demo_agent.py:110 | Starting LiveKit Interview Agent Worker...
2025-08-24 14:43:53 | INFO     | interview-agent | demo_agent.py:60 | Silero VAD prewarmed
2025-08-24 14:43:53 | DEBUG    | LLM-FACTORY | llm_strategy.py:100 | Environment: client, Selected LLM: openai
